B3GALT6
MIB2
TNFRSF14
RPL22
SLC2A5
SPSB1
PIK3CD
DFFA
SRM
FBXO2
FBXO44
FBXO6
MAD2L2
PLOD1
FBLIM1
ZBTB17
RCC2
PLA2G2A
CDA
HSPG2
WNT4
ZNF436
RPL11
HMGCL
LDLRAP1
MAN1C1
SLC9A1
IFI6
STX12
SDC3
COL16A1
AK2
LSM10
CDCA8
NDUFS5
CAP1
COL9A2
KCNQ4
EDN2
SLC2A1
CDC20
ELOVL1
B4GALT2
RNF220
KIF2C
PTCH2
SCP2
DHCR24
JUN
USP1
PGM1
DNAJC6
PDE4B
CTH
SLC44A5
PTGFR
PRKACB
SYDE2
GTF2B
GCLM
ABCA4
ARHGAP29
F3
AGL
SLC35A3
DBT
CDC14A
VCAM1
S1PR1
COL11A1
AMY2B
TAF13
GSTM1
KCNC4
KCNA2
WNT2B
CAPZA1
RHOC
SLC16A1
TRIM33
NGF
SLC22A15
ATP1A1
PHGDH
POLR3GL
TXNIP
PRKAB2
HIST2H2AC
SF3B4
CTSK
PI4KB
CGN
RPS27
IL6R
CKS1B
DPM3
GBA
FDPS
RIT1
ARHGEF2
LMNA
SEMA4A
MEF2D
HDGF
NTRK1
KCNJ10
ATP1A4
COPA
F11R
ARHGAP30
PFDN2
FCER1G
APOA2
RGS4
NUF2
POU2F1
XCL1
ATP1B1
KIFAP3
CENPL
PAPPA2
GLUL
RNASEL
LAMC1
LAMC2
TPR
PTGS2
RGS2
CFH
TNNI1
UBE2T
ADORA1
FMOD
PRELP
SRGAP2
MAPKAPK2
CD55
PLXNA2
LAMB3
G0S2
NEK2
LPGAT1
ATF3
TGFB2
TLR5
DEGS1
ENAH
LEFTY1
LEFTY2
PARP1
WNT3A
GUK1
GJC2
TRIM11
KCNK1
GGPS1
TBCE
GNG4
ACTN2
RGS7
KMO
OPN3
SDCCAG8
AKT3
ADSS
HNRNPU
NLRP3
ADI1
RPS7
MBOAT2
ADAM17
TAF1B
GRHL1
RRM2
ODC1
ATP6V1C2
ROCK2
LPIN1
RHOB
APOB
POMC
KIF3C
CENPA
PREB
LCLAT1
XDH
RASGRP3
CYP1B1
SRSF7
SLC8A1
OXER1
ABCG5
ABCG8
SLC3A1
PRKCE
MCFD2
CALM2
SPTBN1
RPS27A
REL
B3GNT2
MDH1
UGP2
SNRPG
MCEE
CYP26B1
CCT7
ACTG2
SLC4A5
TACR1
SUCLG1
MAT2A
VAMP8
ZNF514
ZNF2
GPAT2
ADRA2B
ACTR1B
EIF5B
RPL31
IL1R1
FHL2
BUB1
BCL2L11
MERTK
RALB
CLASP1
HS6ST1
TUBA3D
GPR39
CCNT2
CXCR4
ARHGAP15
ACVR2A
GALNT5
SCN7A
CERS6
LRP2
GAD1
DYNC1I2
PDK1
RAPGEF4
CHN1
PDE11A
ITGAV
CALCRL
TFPI
COL3A1
COL5A2
SLC40A1
GLS
SLC39A10
CFLAR
CASP10
CASP8
FZD7
NRP2
IDH1
ACADL
ERBB4
FN1
RPL37A
IGFBP2
IGFBP5
GPBAR1
SLC11A1
CYP27A1
WNT6
IHH
TUBA4A
DES
CHPF
INHA
IRS1
COL4A3
CCL20
TRIP12
SP100
B3GNT7
NMUR1
CHRNG
DGKD
HJURP
COL6A3
RAMP1
PER2
D2HGDH
NEU4
BHLHE40
OXTR
SEC13
PPARG
RPL32
SLC6A6
RAB5A
KAT2B
THRB
SLC4A7
GLB1
CRTAP
ITGA9
ACAA1
ZNF619
ZNF621
CTNNB1
ZNF445
ZNF197
SLC6A20
TDGF1
MYL3
PTH1R
IP6K2
LAMB2
RBM5
GNAI2
CISH
RPL29
TNNC1
TKT
WNT5A
ARHGEF3
IL17RD
FLNB
GXYLT2
ROBO2
HTR1F
PROS1
ST3GAL6
RPL24
ALCAM
CBLB
BOC
B4GALT4
ARHGAP31
COX17
NDUFB4
GTF2E1
KPNA1
KALRN
ITGB5
MGLL
SEC61A1
RUVBL1
GATA2
PLXND1
TRH
TF
SLCO2A1
CEP63
NCK1
RBP2
SPSB4
XRN1
CHST2
SLC9A9
PLOD2
WWTR1
KCNAB1
PPM1L
SKIL
PIK3CA
GNB4
B3GNT5
EIF4G1
POLR2H
THPO
IGF2BP2
EIF4A2
ST6GAL1
MASP1
CLDN1
HES1
GP5
MUC4
PIGX
RPL35A
SLC26A1
FGFR3
ADD1
RGS12
CRMP1
WFS1
GRPEL1
WDR1
HS3ST1
FBXL5
PPARGC1A
ARAP2
PGM2
RPL9
ATP8A1
GABRA2
GABRA4
PDGFRA
NMU
PAICS
UBA6
SULT1E1
SLC4A4
GC
NPFFR2
CXCL1
CXCL2
BTC
PRKG2
SEC31A
LIN54
ARHGAP24
MAPK10
SPP1
ABCG2
HERC5
UNC5C
MTTP
H2AFZ
PPP3CA
PAPSS1
SGMS2
RPL34
COL25A1
CFI
RRH
EGF
CAMK2D
SEC24D
MAD2L1
QRFPR
EXOSC9
CCNA2
FGF2
MGST2
MAML3
INPP4B
GAB1
EDNRA
ARHGAP10
RPS3A
MND1
TDO2
CTSO
PDGFC
GLRB
NPY1R
MSMO1
TLL1
GALNT7
HMGB2
